,title,abstract,link,volume,abstract_lemma
10,The gospel of prosperity and its concept of development: A Ghanaian Pentecostal-Charismatic experience,"The prosperity gospel, a doctrine in the global Pentecostal-Charismatic movement, characteristically demonstrates the nexus of the Christian faith and wealth. This article analyses Mensa Otabil, a Ghanaian prosperity preacher’s ‘20-year personal development plan’ for members of his church, the International Central Gospel Church (ICGC). It explores whether or not, why and how the members are aligning their lives and visions to his vision of how to achieve a better, prosperous community. Using ethnographic data obtained from selected members of the ICGC, this article investigates the idea and the implementation of the development plan, in order to understand the plan as Otabil’s conscious effort to change society through the transformation of individuals. It argues that Otabil’s efforts can be analysed as a form of religious engineering, where, the individual members are invited to act as engineers of their own life and subjectivity.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1792050,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-51,the prosperity gospel a doctrine in the global Pentecostal Charismatic movement characteristically demonstrate the nexus of the christian faith and wealth this article analyse Mensa Otabil a ghanaian prosperity preacher s 20 year personal development plan for member of his church the International Central Gospel Church ICGC it explore whether or not why and how the member be align their life and vision to his vision of how to achieve a well prosperous community use ethnographic datum obtain from select member of the icgc this article investigate the idea and the implementation of the development plan in order to understand the plan as Otabil s conscious effort to change society through the transformation of individual it argue that Otabil s effort can be analyse as a form of religious engineering where the individual member be invite to act as engineer of their own life and subjectivity 
11,Religions and development: a paradigm shift or business as usual?,"There has been a ‘turn to religion’ by global development actors over the past couple of decades. This article examines the extent to which this is evidence of a paradigm shift or simply business as usual. The first part of the article will examine the nature of this ‘turn to religion’, including how it has been debated and conceptualized within academic research. I examine the usefulness of the concept of ‘religious engineering’ (the focus of this thematic issue) as a way of helping us broaden approaches to the ‘religion-development nexus’ beyond a focus on the relationship between formal international FBOs and secular global development institutions. The second part of the article develops the concept of ‘religious engineering’ with reference to the work of Pierre Bourdieu. I argue that the concepts of habitus, field and capital help de-centre the focus of attention from global development institutions to other fields of religion-development intersection.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1792055,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-51,there have be a turn to religion by global development actor over the past couple of decade this article examine the extent to which this be evidence of a paradigm shift or simply business as usual the first part of the article will examine the nature of this turn to religion include how it have be debate and conceptualize within academic research I examine the usefulness of the concept of religious engineering the focus of this thematic issue as a way of help we broaden approach to the religion development nexus beyond a focus on the relationship between formal international fbo and secular global development institution the second part of the article develop the concept of religious engineering with reference to the work of Pierre Bourdieu I argue that the concept of habitus field and capital help de centre the focus of attention from global development institution to other field of religion development intersection 
12,"Hidden presence: race and/in the history, construct, and study of western esotericism","Except for a few studies that explore the intersections between esoteric ideas/practices and white supremacy, race has largely been ignored in the field of Western esotericism. This article seeks to partake in remedying this lacuna. To do so, it provides a deconstructive analysis of the way race has operated in the field. I argue that race, although consistently overlooked, has functioned as a ‘hidden presence’ that has shaped both the historical formation of the field and the construct of Western esotericism – so much so, in fact, that we may conceive it as a subtext in and for the dominant ‘grand narrative’ of Western esotericism. In conclusion, I investigate recent attempts to omit ‘Western’ as a definitive adjective in the study of esotericism, thereby proposing that, even as we move ‘beyond the West,’ we must also continue to investigate the entanglements of ‘Western’ and whiteness.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2019.1642262,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50,except for a few study that explore the intersection between esoteric idea practice and white supremacy race have largely be ignore in the field of western esotericism this article seek to partake in remedy this lacuna to do so it provide a deconstructive analysis of the way race have operate in the field I argue that race although consistently overlook have function as a hidden presence that have shape both the historical formation of the field and the construct of western esotericism so much so in fact that we may conceive it as a subtext in and for the dominant grand narrative of western esotericism in conclusion I investigate recent attempt to omit western as a definitive adjective in the study of esotericism thereby propose that even as we move beyond the West we must also continue to investigate the entanglement of western and whiteness 
13,Pentecosmopolis: on the pentecostal cosmopolitanism of Lagos,"Based on ethnography conducted in Lagos, one of the foremost pentecostal cities in the world, this article coins the interconnected concepts of ‘Pentecosmopolis’ and ‘pentecosmopolitanism’ to account for forms of cosmopolitanism that are shaped at the intersection of Pentecostalisms and urbanisms. These concepts highlight the dialectical role of Pentecostalisms in the cosmopolitization of urban sociospatialities, and of urbanisms in the cosmopolitization of Pentecostalisms. This article disbands the ideas of Pentecosmopolis and pentecosmopolitanism into two interconnected sub-concepts of ‘pentecosmopolitan spatiality’ and ‘pentecosmopolitan sociality’––of ‘pentecosmopolitan sociospatiality’. Against the background of marginality in scholarship, I examine the cosmopolitization—the diversification and contrastification—of sociospatial symbolisms, practices and relationalities taking shape in the city at the behest of Pentecostalisms, and in Pentecostalisms at the behest of the city.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2019.1650308,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50,base on ethnography conduct in Lagos one of the foremost pentecostal city in the world this article coin the interconnect concept of Pentecosmopolis and pentecosmopolitanism to account for form of cosmopolitanism that be shape at the intersection of Pentecostalisms and urbanism these concept highlight the dialectical role of Pentecostalisms in the cosmopolitization of urban sociospatialitie and of urbanism in the cosmopolitization of Pentecostalisms this article disband the idea of Pentecosmopolis and pentecosmopolitanism into two interconnect sub concept of pentecosmopolitan spatiality and pentecosmopolitan socialityof pentecosmopolitan sociospatiality against the background of marginality in scholarship I examine the cosmopolitization the diversification and contrastification of sociospatial symbolism practice and relationalitie take shape in the city at the behest of Pentecostalisms and in Pentecostalisms at the behest of the city 
14,Imagining Buddhist modernism: the shared religious categories of scholars and American Buddhists,"Scholarship on religion has often centered on the gaps between academic analysis and the self-understanding of religious people. In the study of Buddhism in America, however, many scholars and practitioners share cultural histories, material circumstances, and textual space. This article examines the nature of the relationship between particular academics and particular convert Buddhists to argue that they share a way of thinking about religion: perceiving a strong dichotomy between modernity and tradition, and a resulting willingness to take Buddhist modernist narratives at face value as descriptions of religious life. This normative modernism, along with reactions against it, leads to the collapse of descriptive and prescriptive discourse on American Buddhism. By contrast, scholarship that does not participate in the dichotomy between modern and traditional religion reveals a much richer, messier, and more accurate picture of Buddhism in America, and the Buddhists whose practices and self-representations exceed the boundaries of modernism.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2019.1664674,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50,scholarship on religion have often center on the gap between academic analysis and the self understanding of religious people in the study of Buddhism in America however many scholar and practitioner share cultural history material circumstance and textual space this article examine the nature of the relationship between particular academic and particular convert buddhist to argue that they share a way of thinking about religion perceive a strong dichotomy between modernity and tradition and a result willingness to take buddhist modernist narrative at face value as description of religious life this normative modernism along with reaction against it lead to the collapse of descriptive and prescriptive discourse on American Buddhism by contrast scholarship that do not participate in the dichotomy between modern and traditional religion reveal a much rich messy and more accurate picture of Buddhism in America and the buddhist whose practice and self representation exceed the boundary of modernism 
15,Religion and space in colonial South America: a technology of geo-political rule and terrestrial-spatial subjectivity in the Jesuit missions of the Banda Oriental,"Based on a genealogical analysis of documentary evidence, this paper explores the comprehensive technology of geo-political rule that was applied in the missions established and governed by the Society of Jesus in the territories of the Banda Oriental in South America, from the early 17th century to the second half of the 18th century. The interdependent knowledges and practices of the technology – its contested logics of universal conversion, its hard and soft geo-political techniques, its terrestrial-spatial subjectivities – as well as the resistances that opposed the technology’s operation are discussed and conceptualized. These conceptualizations are presented as contributions to the studies on colonial religious governmentalities. The conclusions highlight the relevance of governmentality approaches and meta-institutional analytical perspectives for the study of religions and space and religious geo-politics in past and contemporary societies.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2019.1709580,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50,base on a genealogical analysis of documentary evidence this paper explore the comprehensive technology of geo political rule that be apply in the mission establish and govern by the Society of Jesus in the territory of the Banda Oriental in South America from the early 17th century to the second half of the 18th century the interdependent knowledge and practice of the technology its contest logic of universal conversion its hard and soft geo political technique its terrestrial spatial subjectivity as well as the resistance that oppose the technology s operation be discuss and conceptualize these conceptualization be present as contribution to the study on colonial religious governmentalitie the conclusion highlight the relevance of governmentality approach and meta institutional analytical perspective for the study of religion and space and religious geo politic in past and contemporary society 
16,"Big Gods, socio-cultural evolution and the non-obvious merits of a sociological interpretation","Much of the recent, renewed interest in the cultural evolution of religion has been driven by findings in experimental and cognitive psychology, and, as a result of disciplinary boundaries, sociologists have engaged very little with this new data and theory. In order to bring sociology formally back into this discussion, we provide in this paper five sociological sources for the birth and diffusion of ‘Big God’ ideation (with monotheism serving as a paradigmatic case). Agentically, we suggest that Big God beliefs assuaged existential anxiety, aided in elite legitimation and were useful for religious entrepreneurs hoping to establish new institutional fields. Structurally, we suggest that Big God beliefs may have been an epiphenomenal attempt by people to symbolically represent the centralization of political authority and the intensified use of new technologies. We conclude with a general theory of the cultural evolution of Big Gods that integrates these agentic and structural explanations.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1712666,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50,much of the recent renew interest in the cultural evolution of religion have be drive by finding in experimental and cognitive psychology and as a result of disciplinary boundary sociologist have engage very little with this new datum and theory in order to bring sociology formally back into this discussion we provide in this paper five sociological source for the birth and diffusion of Big God ideation with monotheism serve as a paradigmatic case agentically we suggest that Big God belief assuage existential anxiety aid in elite legitimation and be useful for religious entrepreneur hope to establish new institutional field structurally we suggest that Big God belief may have be an epiphenomenal attempt by people to symbolically represent the centralization of political authority and the intensify use of new technology we conclude with a general theory of the cultural evolution of Big Gods that integrate these agentic and structural explanation 
17,Making sense of the study of spirituality: late modernity on trial,"In this article I offer a meta-theoretical mapping of spirituality studies and its many controversies. I begin by distinguishing between two projects that together constitute the field: the study for and the study of spirituality. I argue a good deal of the confusion surrounding ‘spirituality’ is the result of scholars failing to make this distinction. Next, I outline the few areas of agreement within the study of spirituality in order to illuminate what I consider the issue that defines the field: the merits and shortcomings of late modernity. By late modernity I mean the current era, whose origins can be traced roughly to the 1960s. I then offer a meta-theoretical analysis of the social-cum-political theoretical frameworks commonly used to study spirituality, delineating them according to their assessments of the contemporary epoch. I contend this is a useful and much-needed means of dispelling some of the fuzziness that characterizes the field.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1758229,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50,in this article I offer a meta theoretical mapping of spirituality study and its many controversy I begin by distinguish between two project that together constitute the field the study for and the study of spirituality I argue a good deal of the confusion surround spirituality be the result of scholar fail to make this distinction next I outline the few area of agreement within the study of spirituality in order to illuminate what I consider the issue that define the field the merit and shortcoming of late modernity by late modernity I mean the current era whose origin can be trace roughly to the 1960 I then offer a meta theoretical analysis of the social cum political theoretical framework commonly use to study spirituality delineate they accord to their assessment of the contemporary epoch I contend this be a useful and much need mean of dispel some of the fuzziness that characterize the field 
18,‘Just leave it blank’ non-religious children and their negotiation of prayer in school,"This article examines how non-religious children experience acts of collective worship and prayer in primary school settings and analyses how they negotiate religion and their non-religious identities in these events. Drawing on ethnographic fieldwork examining non-religious childhoods and collective worship in three English primary schools, the authors explore how non-religious children demonstrate their agency when confronted with particular boundaries and concepts related to religion and non-religion in school contexts. Attending to the experiences, perspectives, and practices of non-religious children adds to our understanding of the varieties of non-religion, which has to date largely focused on elite, adult populations. Focusing on non-religious children’s experiences of prayer reveals how these children did not experience tensions between praying to God and their non-religious identities and articulated their own interpretations of these practices, deepening understanding of the lived realities of non-religious cultures and identities.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1758230,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50,this article examine how non religious child experience act of collective worship and prayer in primary school setting and analysis how they negotiate religion and their non religious identity in these event draw on ethnographic fieldwork examine non religious childhood and collective worship in three english primary school the author explore how non religious child demonstrate their agency when confront with particular boundary and concept relate to religion and non religion in school context attend to the experience perspective and practice of non religious child add to our understanding of the variety of non religion which have to date largely focus on elite adult population focus on non religious child s experience of prayer reveal how these child do not experience tension between pray to God and their non religious identity and articulate their own interpretation of these practice deepen understanding of the live reality of non religious culture and identity 
19,Vocation for travel. Catholic priestly training in Sri Lanka,"Catholic priests and advanced seminarians in Sri Lanka often describe their entrance to the seminary as the response to a strong spiritual calling that they could not ignore. Young seminarians offer more ambiguous narratives, where a combination of material anxieties, local cultural traditions and individual aspirations, encourage them to consider joining the clergy. This article examines how seminaries highlight aspects of religious formation where vocational discernment and the authenticity of one's calling are left for later stages of formation. Emphasizing aspects of career mobility, graduate studies overseas and missionary work, seminaries provide an attractive alternative for prospective priests in Sri Lanka. I argue that there is no contradiction between the spiritual dimensions of religious vocation and the material aspirations of seminarians. Although ethical dispositions emerge and replace the mundane impulses that initially attract young men to the seminary, material incentives are never completely eliminated from the vocational map of seminarians.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1810818,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-50,catholic priest and advanced seminarian in Sri Lanka often describe their entrance to the seminary as the response to a strong spiritual calling that they could not ignore young seminarian offer more ambiguous narrative where a combination of material anxiety local cultural tradition and individual aspiration encourage they to consider join the clergy this article examine how seminary highlight aspect of religious formation where vocational discernment and the authenticity of one s calling be leave for later stage of formation emphasize aspect of career mobility graduate study overseas and missionary work seminary provide an attractive alternative for prospective priest in Sri Lanka I argue that there be no contradiction between the spiritual dimension of religious vocation and the material aspiration of seminarian although ethical disposition emerge and replace the mundane impulse that initially attract young man to the seminary material incentive be never completely eliminate from the vocational map of seminarian 
